numberOfTweet,text,user name,screen name,description,gender
1,"Brexit, Trump, AfD, Le Pen - to many a ""feel-good"" of the moment, but with devastating future consequences.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
27,What are your favorite or most exciting (super) early-stage startups in Berlin these days? What problem do they solve?,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
28,"My favorite new podcast is @WestWingWeekly, every episode discussed by @JoshMalina and @HrishiHirway. Just wish it'd be avail on @SoundCloud",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
29,Ever considered relocating to Berlin to work at @SoundCloud? We're doing our best to make as smooth as possible https://t.co/hL6qsOIp9r,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
30,Did you hear this? I'll Give You More by GNDWIRE Records https://t.co/Cj5Ni4TUQs on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
31,"For Edition Eleven of @rolemodels, @sitar and I will have a conversation about her journey. Join us on Thursday https://t.co/S8vzJQ0IKG",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
32,@peterbihr go eat seafood at Ramiro,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
33,"@Chryde Hi Christophe, David and @ericw here from SoundCloud. We're in Paris this week and would love to meet up david@soundcloud dot com",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
34,Did you hear this? Beg &amp; Crawl by @maxwelljury https://t.co/pD6pejyWN8 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
35,Did you hear this? Desire by Moon Tapes https://t.co/VnByJZtbV7 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
36,Did you hear this? Undertow by @yeswemystic https://t.co/wvZks3U9Tu on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
37,"@robertraths @ErasedTapes will do, thanks!",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
38,@robertraths Hi! David here from SoundCloud. What's the best way to invite you to an intimate dinner tomorrow night in London? @ErasedTapes,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
39,2 of the 88 featured speakers of the 'Noah - Leaders Connected' conference hosted by Axel Springer are women https://t.co/1RG0etN7Np,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
40,Did you hear this? Ben Lukas Boysen – Golden Times 1 by @erasedtapes https://t.co/2YwmSs6TGT on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
41,@amoorenyc that's a great lineup!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
42,"@EricFriedman certainly will, really curious to hear more",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
43,"@EricFriedman congrats on that new role, Eric! @arainert @expa",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
44,There are very few people that show up in the world like @tedr does. Rooting for you to beat this sucker. https://t.co/X6mXDp1uQi,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
45,"The end of the day sounds quite busy with the amount of ""at the end of the day, what really matters is..."" that I hear every day.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
46,"@lyssaslounge thank you for taking the time, and for sharing so openly! It was grat to have you. @isasun @rolemodels",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
47,Did you hear this? Plants And Animals - No Worries Gonna Find Us by @secretcityrcrds https://t.co/cqPKA5xZx5 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
48,Did you hear this? case/lang/veirs - Best Kept Secret by @antirecords https://t.co/Zx66ybI3JY on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
49,SoundCloud’s VP People on why data is key in fighting the war for talent https://t.co/mqECou0E9M,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
50,Final call for tonight's Edition Ten of @rolemodels with @lyssaslounge and @isasun. Last few tickets are going fast https://t.co/XqTLhq88Px,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
51,Did you hear this? Francis - Follow Me Home by @StrsCandy https://t.co/WO5H6tkubI on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
52,2016 is an exciting year for @SoundCloud and we currently have 30 open roles in different teams. Next dream job? https://t.co/MIHvfAwmXE,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
53,@james__welch @SoundCloud so glad to have you! And thank you for your continued dedication!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
54,Did you hear this? Priestess by @pumarosamusic https://t.co/XhPJbYbaP3 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
55,@jhedelstein that last paragraph!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
56,Did you hear this? WOODS - MORNING LIGHT by @WOODSIST https://t.co/Dxky3CFT70 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
57,My spring in music... so far https://t.co/Hub1HX76Cf,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
58,@bijan it was so great to finally see you again. Thanks for taking that photo,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
59,@robinwauters ugh that place! ;),David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
60,Did you hear this? Body by @Basshmusic https://t.co/NKv36cLsFl on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
61,Did you hear this? Body by Bassh by @Basshmusic https://t.co/FahmCm2Cfn on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
62,Did you hear this? 07 Don't Leave by @PeterWolfCrier https://t.co/q0bVBbPQpg on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
63,Did you hear this? Hearse by @WillJosephCook https://t.co/WRAz3bRLEs on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
64,Did you hear this? Lump Street by @frabbits https://t.co/9tlGzFRVLL on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
65,Did you hear this? Get Out by @frabbits https://t.co/bMvKz8SIFm on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
66,Last chance to get a ticket for Edition Nine of @rolemodels with @amoorenyc tonight at @SoundCloud https://t.co/AihP6ypt11,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
67,Only a few more tickets available for Edition Nine of @rolemodels with @amoorenyc this Thursday at @SoundCloud https://t.co/AihP6ypt11,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,Female
68,@saidchelsea awww,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
69,@RickWebb @SoundCloud it could :),David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
70,"@RickWebb @SoundCloud thanks, Rick! Hope all is well in NC",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
71,Did you hear this? In My Head by @HawaiBand https://t.co/l87aqPLwde on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
72,"@JoeLaz thanks, Joe! Hope all is well with you and the family. It's been so long!",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
73,@bijan thank you my friend. That's been a long time coming.,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
74,SoundCloud Go means SoundCloud from A to Z https://t.co/Yx0YE6UGl8,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
75,"@TheoBlochet thank you, Theo!",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
76,SoundCloud Go: An Audacious Answer to Spotify That’s Dying to Stand Out https://t.co/Au7zw3NkxF via @WIRED,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
77,SoundCloud Go https://t.co/yqUEM8nt0i,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
78,"Berlin is not that ugly as we often think. We just have to look more closely, and sometimes from a different angle.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
79,@cassmarketos CM Cregg!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
80,"Come hear @amoorenyc's story, our new Chief Revenue Officer at @SoundCloud in Edition Nine of @rolemodels on April 7 https://t.co/AihP6ypt11",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
81,The grace of an airplane landing...,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
82,"Tons of roles open at @SoundCloud. This is going to be an exciting year for us, now is the perfect time to join! https://t.co/MIHvfAeM66",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
83,"To support Girls Day 2016, we're hosting a programming workshop for girls aged 13-15 in Berlin. Listen to learn more https://t.co/6UeILrNA3D",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
84,Did you hear this? Voices Drifting by @theholidays https://t.co/1o5aruyKp2 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
85,Did you hear this? The Song They Play Every Night by @littlegreencars https://t.co/1fEjZWORwH on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
86,Did you hear this? RUNNING HOME TO YOU by @Bee_Caves https://t.co/WWZhoVB0Fv on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
87,This Teen’s Song Came After Kanye's On Soundcloud -- And Now He Has A Record Deal https://t.co/0i2LVozPlM via @MTVNews,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
88,Very exciting to be adding Alison Moore to the @SoundCoud executive team https://t.co/cUIts3Zam3,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
89,"Did you hear this? Sound The Horns feat. Inspectah Deck, U-God, Sadat X by @WuTangClan https://t.co/N2EV1Atrai on #SoundCloud",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
90,Final chance to get one of the last tickets for tomorrow's edition of @rolemodels with @joanabp of @betterplace_org https://t.co/uu4yv2ZqfB,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
91,Did you hear this? Cal by @silvertorches https://t.co/5c4Z40J3kz on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
92,Did you hear this? Woman In Rust by @silvertorches https://t.co/zaPRk0nvcQ on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
93,Did you hear this? Ona - American Fiction - American Fiction by TwinCousinsRecords https://t.co/ojyTypPlYi on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
94,Did you hear this? Mo Kenney - Pretty Things by @mo_kenney https://t.co/5Lah3HFKq5 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
95,There's not a single woman in this speaker line-up for the 'Entrepreneur's Day 2016'! https://t.co/cLjBM4I2UV,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
96,Tickets for Edition Eight of @rolemodels with @joanabp of @betterplace_org are going fast. Join us on Feb 29 https://t.co/uu4yv2ZqfB,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
97,Come help us recruit the best technical talent to help us build @SoundCloud https://t.co/QEbPgTOzRT,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
98,Edition Eight of @rolemodels on Feb 29 is a go! Our guest will be @joanabp of @betterplace_org and tickets are free https://t.co/uu4yv2HPo3,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
99,Did you hear this? Temple by Matthew and the Atlas https://t.co/jSM96SA9Wx on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
100,Did you hear this? Where I Belong by LongfellowMusic https://t.co/fmgdx0ExSg on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
101,"Join us tonight for Edition Seven of @rolemodels with our guest Anna Alex, founder and CEO of @outfittery https://t.co/eidLv8EIq8",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
102,Did you hear this? The Fjords - All In by Propeller Recordings https://t.co/4NUpJ9HogV on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
103,Tickets for our first edition this year of @rolemodels with Anna Alex are going fast. Get yours before they're gone https://t.co/eidLv8EIq8,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
104,SoundCloud is looking to hire a Senior Data Analyst with a focus on growth. If you're the one (or know someone)... https://t.co/2WGbL22wmB,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
105,"Join us for Edition Seven of @rolemodels with Anna Alex, co-founder and CEO of @Outfittery. Get your free ticket --&gt; https://t.co/eidLv8EIq8",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
106,"#rolemodels is back with Edition Seven with our guest Anna Alex, co-founder and CEO of @outfittery https://t.co/eidLv8EIq8",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
107,Who's your peer and how do they help you? Excellent conversation by @jerrycolonna with @ystrickler and @soundboy https://t.co/vAKTpRThGU,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
108,The secret Zen side of @SoundCloud https://t.co/u0VLZ5HOwD via @HuffPostTech,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
109,@haynes_dave @james__welch watch the tv series 'Nashville' to cope (provided you're into country),David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
110,@james__welch jealous of Nashville!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
111,Did you hear this? Went To War by @Amasonband https://t.co/GnNDsVvt86 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
112,@pjozefak @david @shak That works too,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
113,@shak this is good! Unfortunately doesn't apply in current company :),David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
114,"Don'ts at conferences: ""Oh, I know [insert name of more senior person in your company]"", then walk away.",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
115,We need more women like @JodyWilliams97 on stages of big conferences. And we need them on the main stages. Best talk at #DLD16,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
116,@fredd thanks Fred! You can be it :),David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
117,Love @fredwilson's post about tenacity https://t.co/5VBWSo35Iu,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
118,Here's my winter in music so far... What are your new favorite songs? https://t.co/q3255o3g9v,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
119,Did you hear this? Sprawl II (Mountains Beyond Mountains) - Arcade Fire Cover by @willdailey https://t.co/jX31x8F2JC on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
120,"If you have smoker friends who want to become non-smokers, what has worked for me might work for them too https://t.co/D1JJzXFHF2",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
121,@BenjaminPHardy thank you!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
122,"@BenjaminPHardy inspired by all your recent posts, I finally shared the story about how I became a non-smoker https://t.co/BJbAcMN6aa",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
123,Did you hear this? Mont Blanc by Quiet Hollers https://t.co/pnn6O3a3lu on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
124,Did you hear this? Run by Unnveig Aas https://t.co/LonkyKtjrG on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
125,"On this day today, three years ago, I became a non-smoker: “Quitting Smoking Is Hard, Becoming A Non-Smoker Is Not” https://t.co/pJYGe3G7cx",David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
126,@dianakimball @quip at least it was sparkling!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
127,@BenjaminPHardy thanks for writing!,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
128,“How To Consciously Evolve in 2016 (&amp; the rest of your life)” by @BenjaminPHardy https://t.co/UWyzPOgLD1,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
129,Did you hear this? Essential Tracks of 2015 by fredwilson https://t.co/vDgma60pFc on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
130,@easyJet I paid for Speedy Boarding but at SXF buses take you to the plane and no speedy boarding delivered. Rip off?,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
131,Did you hear this? Shooting Shadows by @dreamersjoinus https://t.co/lomTgwMzIw on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
132,“Facebook’s Mental Health Problem” Excellent post by @katikrause on the effects of FB on our psyche https://t.co/qEsa0xNMIU,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
133,Did you hear this? No Devil by @sanferminband https://t.co/iB4KVFALrh on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
134,Did you hear this? Animal by @racingglaciers https://t.co/W2za007yS3 on #SoundCloud,David Noël,David,SoundCloud | Seedcamp | Running | Airplanes | Pandas | Header photo: https://t.co/0wtFGsdcad,female
