numberOfTweet,text,user name,screen name,description,gender
11,@Besvinick @andyellwood @aguttler hi friends with dogs and VC affinities! 👋🏼🐶😜,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
12,"I don't speak Japanese, but this just feels like there's a lower bar for quality control on Promoted Tweets here... https://t.co/NNo1tJGvfg",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
13,@andreawass just got to Kyoto and loving every minute so far! Thanks for the amazing recos. Let's get together when we're back in May!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
14,"Great analysis of why ""a rose gold gadget is...a choice, a decision that says something about what you value."" https://t.co/Wuq20U6U5a",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
15,@juliejordanc pretty sure @ErBaevs is the cancer survivor in Jen's story -- she did her @MakeAWish in Nov 2011! https://t.co/xVHd1ptftY,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
16,"@kim_yarnell just LOL'd (sorry, husband!) was he sitting or standing?",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
17,@roter what a time to be alive 🙌🏼,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
18,@jess how was it? I still have mine from 2011!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
19,"@LAGentleman welcome! Look forward to meeting in person in a couple weeks. Thanks for the intro, @ryandawidjan",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
20,"@littlebeet when does the new location in NoMad open? Food blogs said March, and it's now April!",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
21,@KatieS @HamiltonMusical is worth every 💰. The Color Purple is supposed to be fabulous (as a backup)!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
22,@AlexLuxenberg mazel tov!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
23,@greggweiss see you there!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
24,This seems like a tweet copy / link misalignment... https://t.co/V0yuVBbWJZ,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
25,@Derella saw @springsteen there'll the Magic Tour in 2008 - he closed with Rosalita 🙌🏼 gotta love #theboss,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
26,"@markdaniel94 lol will this get a like or an actual response, @Besvinick?",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
27,"Also, @clayco...can't believe @grauface @MrRiordan @Keith3 and @mdudas made the short list of people you're following! 😡 Cc @TweetGuyMark",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
28,@donsteele @Derella where do you keep your condiments?,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
29,"@Derella @ambers @NotMattWilkins organic pb HAS TO go in the fridge! My parents put Skippy in for fun. Can't get over ketchup. Mustard, too?",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
30,"@ambers @NotMattWilkins @Derella ketchup in the fridge, peanut butter in the cabinet...but I grew up in a pb fridge house",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
31,@Derella where do you keep your peanut butter? #realtalk,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
32,@Besvinick @chrismaddern @twitter LOL at that search query link 👏🏼👏🏼,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
33,#news https://t.co/HANQ7pOIMt,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
34,"Also cool to see that @AliGPincus and @randizuckerberg, who I admire greatly, are two of the brains behind @HelloMazel",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
35,Love the @HelloMazel subscription box via @TheKitchenSF. Raised over 2x their $18k @kickstarter goal in &lt;6hrs today! https://t.co/7MQlpc5uMZ,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
36,WOW! Nearly 9yrs since the last book. My inner Potter head just started making plans to line up at midnight on 7/30! https://t.co/Vae5hof8k7,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
37,@schmooey @anchor well this is pretty much the cutest thing on the internet today,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
38,"We're psyched to have you at @Pinterest, @jon_kaplan!",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
39,"Welcome to the @Pinterest team, @jon_kaplan! #bigwin https://t.co/HtPwaVsCG3",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
40,"@NotMattWilkins for the record, that was a sympathy ❤️, not a like",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
41,@mdudas @Pinterest has seen 58MM Valentine's Day searches by 12MM users and it's only 2/8! Feelin' the love https://t.co/NPLNCpU2XY’s-day,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
42,@kaseinpoint @theyearofelan 😂😂😂😂😂,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
43,"@Besvinick @hunterwalk @peterpham re: fee, go platinum and use the companion pass on a flight that costs more than $200. It's well worth it!",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
44,"@AspectVC what a fabulous product! Congrats @TF808, will definitely be keeping an eye on @Hobnobinvites",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
45,"@SecurityGeorge! Thanks for the follow, my friend 👊",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
46,Congrats @Besvinick and #DFC! https://t.co/shdlrv9GHj,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
47,Awesome news for @adambain @leslieberland and @twitter!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
48,@ober @kevinweil @adambain @joell uh...I remember ppt-only days! Cc @funbar,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
49,"Twitter will miss you, @kevinweil @katies @aroetter. Thank you for building amazing teams and products. Welcome to the alumni club!",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
50,@ajt you are single handedly keeping me cool these days,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
51,@pm I think visual search is what @Besvinick was referring to earlier! Love using it to find an item in a roomscape or multi-product shot,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
52,@pm glad to hear it! Hope you found an awesome pair,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
53,@pm you can filter Buyable Pins by price using the blue $ in the top right of the search results https://t.co/IuVwfuI3xg,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
54,"@ellenjdasilva @FiveThirtyEight when it comes to @PowerballUSA, should a % be put to a greater cause? Or maybe at a certain threshold?",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
55,@ellenjdasilva looks like John Oliver agreed with you and @FiveThirtyEight took a closer look at state lotteries: https://t.co/S9GG9UE0RH,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
56,"@Dupree @Besvinick @peterpham @AmericanExpress Hertz has crossover with @Delta and @spg too, if that matters to you!",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
57,@karangoel @Besvinick #reciprocity,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
58,@Besvinick 👸🏼🍑,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
59,@ajos @BestBuy I stand corrected by @bjp - Techies in Vegas is BACK!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
60,@andreawass @sbermo not that I'm biased or anything! ;),Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
61,"@ajos this is great - esp since Snapchat doesn't have a #CES story. 2015's was ""Techies in Vegas,"" but I like @BestBuy's emphasis on product",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
62,@andreawass @sbermo 2017 prediction: Pinterest will challenge Facebook and Google’s dominance in retail advertising.,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
63,"@andreawass @sbermo great list. Re #5, Buyable Pins traction is contingent upon both Consumer adoption and Retailer investment/partnership.",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
64,"I'm 3/3 for upgrades so far in 2016. Thanks, @Delta! Also, thanks for the @malinandgoetz hand soap in the bathroom - nice touch.",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
65,So incredibly proud of @Besvinick for being named to the 2016 @Forbes #30Under30 Venture Capital list! https://t.co/gCfeuJn4LU,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
66,@bjp isn't this just a poll to determine if your followers are from the East Coast or West?,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
67,#HappyNewYear,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,Female
68,"This is weird / new low, @instagram cc @Nissan https://t.co/FWZ1AKbbra",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
69,@Besvinick @sacca cc @1010Game,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
70,@CamBurnham great running into you!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
71,Me right now 😢 https://t.co/PefTlknTRI,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
72,@ajt download @1010Game,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
73,Skip the recaps and best-ofs: check out @Pinterest​'s predictions for 2016 in the #Pinterest100! https://t.co/8dZqOxSUTf,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
74,"Inspiring story about Lillian Vernon, an entrepreneur and phenomenal merchandiser who ""leaned in"" before it was cool https://t.co/Ff5Jb5aXLT",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
75,@Veronica have you used @Pinterest's Buyable Pins yet?,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
76,@Dupree @MarthaPavoni @MilesPavoni this is the best!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
77,"""Who's our girl? Probably drinking coffee and if not, she's drinking matcha"" -@Theory__ #UJAYPW",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
78,Thank you  https://t.co/XVbW7mbgHZ,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
79,@dxbupdates I think you have the wrong passenger!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
80,Ad Spend on @Pinterest Has Skyrocketed — Up Nearly 8X Since January via @SocialTimes https://t.co/68WyAfpEZm,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
81,RIP @Mailbox 😢 https://t.co/1goUyGhr4f,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
82,"From Gameboy (✔️) and Tamagotchi (✔️) to Furby (✔️ x3) and more, take a look at the hottest toys of Christmas past: https://t.co/l4SrkABbiA",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
83,@dylanparks @rcallimachi woah.,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
84,@andreawass have you given thought to the implications / opportunity if Kimye names their new child Nine West? https://t.co/MEhE3cCyxC,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
85,@greggweiss @garyvee @ShopkinsWorld they remind me of Crazy Bones (some people called them Gogos) with a Beanie Baby following and price tag,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
86,@greggweiss @garyvee a friend told me about @ShopkinsWorld the other night - it's the only thing her niece wants or cares about right now!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
87,@schlaf just noticed you're married to @TheSill! Love them. Used to have the pink succulent collection on my desk: https://t.co/GcHy5sWH5D,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
88,@Besvinick @ellie @schlaf federal law requires restaurant chains with 20+ locations to post calorie counts. Everyone else is in the clear!,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
89,"Also, #thankful I discovered https://t.co/2FoL8rWMdo. Skelly is LIFE #canteven",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
90,"Had a good laugh at how (sad, but) true this article is. Great analysis, @jess7bennett and RIP to the understatement https://t.co/Zfu9nYtZlg",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
91,.@SamsungMobileUS I want the Theater bundle! Play #SamsungWishList &amp; you could win! https://t.co/qqbICih9l8 #contest https://t.co/X7JmfpiP2H,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
92,Next up? Black Friday! Shop it here: https://t.co/CYg0isREp3,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
93,Congrats on a wonderful parade to @TessaKav @kim_yarnell and the entire @Macys team! #HappyThanksgiving https://t.co/O4QoyxUg0Y,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
94,https://t.co/EwYMZCvqY5 #FTW  https://t.co/tZ9pwD5BDf,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
95,Awesome work on @aliceapp by @jneffron and team! https://t.co/bDynaA8Nsi,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
96,@Besvinick this tweet is like putting chum in the water for a bunch of sharks,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
97,@Besvinick @bjp enjoy: https://t.co/7AedVLdFa2…,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
98,@greggweiss @SydKLION @megodoyle @twitter I have 7 - one for every day of the week! https://t.co/4QlAjM2PDU,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
99,Loyal @spg fans are reacting emotionally to the @Marriott deal and I am definitely among them (via @nytimes) https://t.co/qsxibbBOf2?,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
100,@Besvinick @bjp so many! Let's take this offline,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
101,@Delta and then we got chocolate! #VeteransDaySalute https://t.co/UR1fV1GgNC,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
102,"@clayco I was never a top sports pick, but I really feel like this is my time to shine. @cltom may the odds be ever in your favor.",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
103,@clayco what's the re-follow strategy?,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
104,.@Delta giving Veterans priority boarding is a nice touch today,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
105,"Tried and true: @Besvinick and I hit it off at @ElQuintoPinoNYC. Great list, @infatuation! https://t.co/xEottnK89h",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
106,Congrats @wnd! https://t.co/c2OBYw79sI,Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
107,"@Besvinick I heard people are only saying @HamiltonMusical is *so good* because everyone else is saying it's that good, but it really isn't",Melanie Baevsky,mel,@Pinterest Retail Partnerships Lead via @Twitter @ComedyCentral and @Cornell | NYC resident and restaurant junkie. Fitness enthusiast. Enthusiast in general!,female
