numberOfTweet,text,user name,screen name,description,gender
13,Dat je denkt een leuk bedrag qua loon te hebben en dan blijkt dat ze t bedrag dubbel hebben overgemaakt en je dus eigenlijk vrij weinig hebt,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
14,Maandag avond aan de ringen gehangen bij mn studie. Heb er nu spierpijn van. Gisteren nergens last van gehad. Stom!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
15,@Lifeofkirsnl Oh die ziet er echt mooi uit!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
16,@EstherKampers thanks!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
17,@Liefmeisje1988 Dankjewel!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
18,@Epsiej Ja heel blij mee!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
19,@Epsiej Blijkbaar heeft het geholpen er direct achteraan te mailen met de juiste versie. Kwam ook niet ter sprake dus dat scheelde,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
20,@tweehonderd34 Dankjewel!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
21,@Miekelaa Thanks!!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
22,@wigwampi Dankjewel!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
23,De sollicitatiebrief die de deur uit ging met fouten er in heeft me toch een baan opgeleverd!  Komende tijd ben ik weer juf v/e kleuterklas,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
24,"@Epsiej Ja, heb er maar achteraan gemaild, maar baalde flink!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
25,"Een sollicitatiebrief versturen met typfouten er in, ik kan dat… -_-",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
26,@motorandtea klinkt als de wet van murphy. Jakkes!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
27,@motorandtea Klinkt heel herkenbaar heb ook de ene financiële verrassing na de andere gehad afgelopen twee maanden :( sterkte er mee!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
28,Maar wel een mooi kaartje van de skyline in Miama van @OBEYME__,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
29,"Ik vol verwachting naar de brievenbus beneden, zit er meer troep in voor de vorige bewoner dan voor mezelf.. Nog altijd geen creditcard :(",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
30,@x_Diana_x Oh jakkes! Wat een al slechte start van je dag. Hoop dat er straks niks mis mee blijkt te zijn!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
31,"@wigwampi ja! Nu maar een creditcard aangevraagd want wil er graag mee verder. Gelukkig onthoudt etsy wel je werk, dat scheelt een boel!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
32,"@OBEYME__ Ja mocht die van @joshuaL ook gebruiken, maar dat wil ik ook liever niet, er wordt per product daadwerkelijk wat afgeschreven",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
33,@OBEYME__ Als het goed is heb ik er dan al zelf een ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
34,"Snif, super druk geweest de hele middag om een Etsy winkel te vullen, kom ik bij betalen en heb ik een Credit Card nodig :’(",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
35,"@Hi_Webcare ik heb er bewust voor gekozen om mn toestel zelf te kopen en helaas ondersteunt die geen 4G, dus geen voordelen voor mij",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
36,"@Hi_Webcare ik heb mn abonnement 15 okt. 2013 afgesloten, dus ik heb net pech? Wat een Bummer! In ieder geval bedankt voor de reactie",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
37,"@hi_webcare vrienden van mij bellen gratis naar Hi klanten, maar ik niet. Hoe zit dat en hoe kan ik gratis met vrienden bellen?",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
38,Allemaal zondag rijders voor me onderweg naar de supermarkt &gt;. &lt;,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
39,"Tijd voor een boodschappenlijstje. Niet dat ik zin heb om boodschappen te doen, maar het zal toch een keer moeten",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
40,Een nieuw theme gevonden dat voor nu in orde is. Volgende week maar eens bedenken hoe ik verder wil..,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
41,@x_Diana_x Oh dus dat komt helemaal goed ;) hij ziet er nu al geweldig uit dus kan alleen maar mooier worden!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
42,"@x_Diana_x haha, dan heb je nog wel wat garen nodig!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
43,Ik zit te denken om een premium theme voor WordPress te kopen. Nog nooit gedaan dus twijfels...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
44,"We typen gewoon nog even een sollicitatiebrief op zondag, waarom niet?!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
45,My rainbow blanket is finally finished! More pictures on http://t.co/nPttesSMpU http://t.co/BmK0Kd8zyA,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
46,New post: Rainbow Ripple http://t.co/qA6WepONl4,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
47,New post: Things that make me happy http://t.co/p5RW0a0J9n,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
48,Het huis hier tegenover mij is aangekocht. Maar wat is het verschil met verkocht? #dtv,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
49,"Onder (of naast) me spelen ze een race spelletje, ik kan de gozer compleet horen aanmoedigen. In dubio of ik zal aanbellen, gisteren ook al",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
50,@wigwampi Wat een leuke kaartjes!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
51,Toch maar besloten nog een winter beurt te doen voor de auto.. Voelt toch wat veiliger,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
52,"@x_Diana_x Aaah, superlief! Dankjewel 😊 @Ester_Massuger",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
53,@Ester_Massuger ik volg jou ook!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
54,@Ester_Massuger nou en of ik instagram heb 😊 Stephanie_linden is mijn naam. Wat is de jouwe? Volg ik jou ook!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
55,"Ik heb gisteravond een lege fles Fanta terug in de koelkast gezet. Ik was zeker moe, haha!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
56,@wigwampi he wat erg ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
57,New post: Haakprojecten die niet afkomen in 2014 http://t.co/GdL6g4EYvI,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
58,@Epsiej Dat scheelt alweer een hoop gedoe ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
59,"@Epsiej Ja, met kerst is t vaak t zelfde verhaal.. Ik ga dit jaar lekker de bank ook met wat lekkers en een glaasje buubels",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
60,@beeekje blogspot denk ik,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
61,@Epsiej Vind je dat zo erg?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
62,@running_maus mag toch hopen dat ie nog een jaar mee gaat...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
63,"Ik wil een foto plaatsen op Instagram, maar mn telefoon loopt vast. Dat is vast een teken dat ik naar de winkel moet voor eten..",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
64,Bijna een uur bezig geweest om al mn haakwerkjes op de foto te zetten. Nu nog als bekijken en verwerken op mn blog,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
65,@Epsiej ziet er super uit!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
66,Dacht ik toch even dat ik te fanatiek had opgeruimd door mn haaknaald weg te gooien. Maar heb m gelukkig gevonden!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
67,"@Ester_Massuger ja, iets van 6 euro minder per maand voor iedere 100 euro eigen risico meer",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",Female
68,"@Mama_Angelique Gaaf, dat ga ik binnenkort is opzoeken in de winkel!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
69,@Mama_Angelique Dat ziet er leuk uit! Wat is dit?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
70,@natumi4u Fijne serie he!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
71,Ik zit mijn zorgverzekering te bekijken en twijfel of ik mijn eigen risico omhoog zal gooien Dit jaar maar de helft opgemaakt. #Ervaringen?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
72,Het nadeel van opruimen is dat het eerst altijd een heel veel grotere troep wordt…,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
73,Wat een wind,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
74,@iooon stom,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
75,Wat een fijne ochtend. Eerst grill ik mn vestje op  mn gaskachel (ik wilde m nog even drogen) en vervolgens piest mn kat in een schoenendoos,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
76,New post: Bureaublad http://t.co/QbbIhTaRjs,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
77,"Yes, nog twee stageopdrachten te gaan! Ik kom er wel (al is het misschien niet helemaal voor de kerstvakantie..)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
78,New post: Ontvangen instaswap http://t.co/lKRVibwDU9,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
79,Mezelf er toe gezet dat ik de tandarts bel (ik ben nog net niet bang voor die man) krijg ik een antwoord bandje... Dat helpt niet natuurlijk,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
80,"Ik vind dat ik het ook wel eens verdien in een ""eenvoudige"" groep in te mogen vallen ipv een zorg groep",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
81,Blijkbaar sta ik als laatste op het inval lijstje zodat ik steeds voor rot scholen word gebeld. Heb vandaag maar eens vriendelijk bedankt,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
82,Alle reflecties voor m’n studie dit blok zijn af. Nog 3 stageopdrachten te gaan!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
83,"Oh wauw, ik heb mezelf overtroffen. Heerlijke m&amp;m koekjes gebakken vandaag :D",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
84,New post: Verstuurde Instaswap http://t.co/OpgmZKBBbr,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
85,"Story of my life: kat in de kast vinden bij thuiskomst. Wild gemiauw, alle deuren open, blijkt het uiteraard mn kleren kast te zijn...",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
86,"Whoop whoop, nog maar 1 reflectie en dan ben ik helemaal bij",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
87,@iooon Echt ontzag voor alle moeders die dat alle dagen volhouden!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
88,@iooon Ik snap t ook niet. Heb afgelopen weekend 2 1/2 uur met een baby van 11 maanden en een peuter van ruim 2 doorgebracht en was doodop!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
89,"Administratie telefoontjes zijn beter dan reflecties schrijven, het moet niet gekker worden…",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
90,"Ik ben zo stom geweest de reflecties voor mijn gymlessen niet goed bij te houden, dus nu nog 6 reflecties typen.. #huilen",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
91,@sanniepannie67 ja absoluut! Nu mag ze voorlopig niet mn balkon op haha!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
92,@sanniepannie67 ja! Maandag avond kan mevrouw vrolijk aan huppelen alsof er niks aan de hand was,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
93,@MaaikeSchimmel ja ze kwam de volgende dag aan lopen rond een uur of 6. Alsof er niks aan de hand was,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
94,"@MaaikeSchimmel ik zie je berichtje nu pas, maar mn kat is terecht! Heel blij mee :)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
95,Heerlijk zitten kleuren vanmiddag :) http://t.co/F9dHHY7Qf7,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
96,@PuurSammys haha! Ja helaas heb ik dat pas nog gedaan. Dus nu maar een snelle salade in elkaar geflanst. Goed hé?! ;),Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
97,Zo geen zin om te koken...,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
98,"@EstherKampers ja ik denk dat ze via het dak, naast een ander dan is gesprongen en zo steeds een beetje lager kwam. Maar geen schrammetje!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
99,"@EstherKampers Jaaa, Poes is gevonden! Ik moest vanavond weg, en liep door de straat en riep nog even en daar kwam mevrouw vrolijk aan!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
100,@EstherKampers Nee ik ga er gewoon vanuit dat ze naar haar oude huis terug loopt.,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
101,"@EstherKampers Alleen dat was niet in dit huis, dus nu kent ze de hele buurt niet, geen geur afgegeven niks..",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
102,"@EstherKampers Nou dat weet ik niet zeker, maar na ’n dag verwacht ik toch dat ze wel keihard zou zitten miauwen, is al eens eerder geweest",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
103,"@EstherKampers nee helaas, maak me nu wel echt zorgen dus ga het melden bij amivedi",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
104,"In plaats van vanmiddag mn administratie te kunnen doen heb ik t nu maar gedaan, beetje later maar.. Stomme zondag zo!",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
105,Poes is nog altijd verdwenen. Groot blok om mn huis gelopen: NIKS Ik vrees dat ik morgen Amivedi kan inlichten dat ik een verdwenen poes heb,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
106,"@MaaikeSchimmel nee echt nergens, alles open gehaald, en onder gekeken. Maar geen poes",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
107,"@sanniepannie67 nee helaas, die is de hort op, hopelijk komt ze morgen terug",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
108,"@MaaikeSchimmel ja, beneden en een blok er omheen gelopen, maar geen kat..",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
109,@EstherKampers Ja dat zou me opzicht niks verbazen inderdaad! En als ze er morgenmiddag echt nog niet is zal ik eens amivedi inschakelen..,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
110,@irisbo thanks!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
111,"@irisbo maar ze is hier nog nooit buiten geweest, behalve mn balkon.. Dus kent ze de weg niet en daar maak ik me zorgen om",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
112,"@irisbo nou mevrouw is er al wel vaker vandoor gegaan in mn vorige huis, en eigenlijk verbaasd t me niet dat ze er vandoor is gegaan...",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
113,@irisbo wow! Hoe kreeg ie dat voor elkaar?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
114,@EstherKampers en ook al beneden geweest.. Geen kat helaas,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
115,@Fliene gelukkig!,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
116,"@EstherKampers ik heb echt als gehad, kattenvoer gerammeld en ik nog stof gezogen, want van de stofzuiger gaan ze altijd van plek veranderen",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
117,"@zosaar nee, alles al gezocht. Geen kast te vinden.. Vrees dat ze t dak op is",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
118,"@Fliene oh shit, niet handig. Dus terug gegaan?",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
119,@Fliene hoe doet ie dat?,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
120,"Geloof dat ik mn kat kwijt ben, 3 hoog van t balkon verdwenen.. Ik durf het niet hardop te zeggen dus tweet ik t maar.",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
121,Iets zegt mij dat dit niet helemaal mijn dag is. Kattenbak sluiting gesloopt en met mn domme kop in de rij bij de pinkassa met contant geld.,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
122,"@wigwampi Lief, dankjewel! Ik ga er vanuit dat er nog mooie dingen zullen komen. :)",Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
123,New post: Verhuisbericht http://t.co/Saq3VLqDPV,Stephanie,Stephanie,"25 year old Dutch girl, is a teacher, loves crochet, reading and shopping. Owner of Little Mint Elephant (@mint_elephant)",female
